id;productName;productDescription;category;subcategory;price;currency;imageUrl;inStock;sizes;colors;brand;productType;region;lastUpdated;groupset;brakes;frameMaterial;wheelSize;suspension;weight;hasWarranty
CANYON-001;Canyon Aeroad CFR AXS;Top aero road bike with SRAM Red AXS for maximum speed on the road.;Road;Aero;8999;EUR;https://dma.canyon.com/image/upload/w_750,c_fit/f_auto/q_auto/v1750063987/2026_FULL_aeroad_cfr-axs_4040_R108_P01_n51lb9;true;XS,S,M,L,XL;Sparkle Stealth,Canyon SRAM Racing,Movistar;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;SRAM Red AXS;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-002;Canyon Aeroad CFR Di2;Top aero road bike with Shimano Dura-Ace Di2 for ultimate performance.;Road;Aero;8999;EUR;https://dma.canyon.com/image/upload/w_750,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1749831869/2026_FULL_aeroad_cfr-di2_4039_R108_P01_bh6wi2;true;XS,S,M,L,XL;Sparkle Stealth,Alpecin Deceuninck;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano Dura-Ace Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-003;Canyon Aeroad CF SLX 7 Di2;Aero road bike with Shimano 105 Di2 and DT Swiss ARC 1600 wheels.;Road;Aero;4499;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1749041394/2026_FULL_aeroad_cf-slx-7-di2_4034_R107_P01_uyistz;true;XS,S,M,L,XL,2XL;Midnight Blaze,Crystal White,Burnt Sugar;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano 105 Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-004;Canyon Aeroad CF SLX 8 AXS;Aero road bike with SRAM Force AXS and integrated powermeter.;Road;Aero;6499;EUR;https://dma.canyon.com/image/upload/w_750,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1748348307/2026_FULL_aeroad_cf-slx-8-axs_4037_R107_P04_fxps1y;true;XS,S,M,L,XL;Crystal White,Kaze,Midnight Blaze;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;SRAM Force AXS;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-005;Canyon Ultimate CF SLX 8 Di2;Lightweight race bike with Shimano Ultegra Di2 and powermeter.;Road;Race;5499;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1738924685/2026_FULL_ultimate_cf-slx-8-di2_4066_R100_P08_altcgg;true;XS,S,M,L,XL;Metallic Black,Metallic Acid;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano Ultegra Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-006;Canyon Endurace CF SLX 8 Di2;Endurance road bike with Shimano Ultegra Di2 for long rides.;Road;Endurance;4999;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1752766604/2026_FULL_endurace_cf-slx-8-di2_4277_R077_P11_vtsxva;true;2XS,XS,S,M,L,XL,2XL;Chrome Whisper,Obsidian Bloom;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano Ultegra Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-007;Canyon Endurace CF 7 AXS;Endurance road bike with SRAM Rival AXS and powermeter.;Road;Endurance;2699;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1733934798/1254C816-3343-4F48-902288D0C98C843B;true;2XS,XS,S,M,L,XL,2XL;Black Moon,Lillet Grey;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;SRAM Rival AXS;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-008;Canyon Endurace CF 6;Entry-level endurance road bike with Shimano Tiagra groupset.;Road;Endurance;1799;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1744104233/2026_FULL_endurace_cf-6_4273_R076_P09_mkth9v;true;2XS,XS,S,M,L,XL,2XL;Black Moon;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano Tiagra;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-009;Canyon Speedmax CF SLX 7 Di2;Triathlon time trial bike with Shimano 105 Di2.;Road;Triathlon;6999;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1751441691/2026_FULL_speedmax_cf-slx-7-di2_4253_R091_P12_uq4jrr;true;S,M,L,XL;Bronze,Pure White,Phantom Black;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano 105 Di2;Disc Hydraulic;Carbon;700c;None;7;true
CANYON-010;Canyon Speedmax CF 7 Di2 Race;Triathlon bike with integrated hydration system and powermeter.;Road;Triathlon;4999;EUR;https://dma.canyon.com/image/upload/w_1300,c_fit/b_rgb:F2F2F2/f_auto/q_auto/v1754289490/2026_FULL_speedmax_cf-7-di2-race_4137_R073_P11_nutrab;true;S,M,L,XL;Black Mirage,Spirit Moon;Canyon;Bike;GLOBAL;2026-02-04T21:00:00Z;Shimano 105 Di2;Disc Hydraulic;Carbon;700c;None;7;true
