productExternalId,productName,productDescription,category,subcategory,businessModel.type,businessModel.price,businessModel.currency,imageUrl,inStock,sizes,colors,brand,region,hasWarranty,groupset,brakes,frameMaterial,wheelSize,suspension,weight,category1,category2,category3
CANYON-001,Canyon Aeroad CFR,The ultimate aero road bike. Aerodynamics meets lightweight construction for maximum performance on the road.,Road,Aero,Bike,8999,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL","Stealth,Red,White",Canyon,GLOBAL,true,Shimano Dura-Ace Di2,Disc Hydraulic,Carbon,700c,None,6.8,Aero,Canyon,Road
CANYON-002,Canyon Ultimate CF SLX,Lightweight climbing road bike for mountain riders. Carbon frame with perfect balance of stiffness and comfort.,Road,Climbing,Bike,6499,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL","Black,Blue,Yellow",Canyon,GLOBAL,true,Shimano Ultegra Di2,Disc Hydraulic,Carbon,700c,None,7.2,Climbing,Canyon,Road
CANYON-003,Canyon Endurace CF SL,Long-distance road bike for comfort on extended tours. Endurance geometry for relaxed riding.,Road,Endurance,Bike,4299,EUR,/images/sap_logo.png,true,"2XS,XS,S,M,L,XL,2XL","Grey,Green,Orange",Canyon,GLOBAL,true,Shimano 105 Di2,Disc Hydraulic,Carbon,700c,None,8.1,Endurance,Canyon,Road
CANYON-004,Canyon Speedmax CF SLX,Triathlon and time trial bike. UCI-compliant with integrated hydration system and optimal aerodynamics.,Road,Triathlon,Bike,7999,EUR,/images/sap_logo.png,true,"XS,S,M,L","Black,Red",Canyon,GLOBAL,true,Shimano Dura-Ace Di2,Disc Hydraulic,Carbon,700c,None,7.9,Triathlon,Canyon,Road
CANYON-005,Canyon Grail CF SLX,Premium gravel bike for off-road adventures. Versatile for gravel forest trails and tarmac.,Gravel,All-Road,Bike,5999,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL","Sand,Forest,Black",Canyon,GLOBAL,true,SRAM Force AXS,Disc Hydraulic,Carbon,700c,None,8.0,All-Road,Canyon,Gravel
CANYON-006,Canyon Grizl CF SL,Bikepacking-optimized gravel bike with numerous mounting points for long tours.,Gravel,Bikepacking,Bike,4499,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL,2XL","Olive,Blue,Grey",Canyon,GLOBAL,true,Shimano GRX Di2,Disc Hydraulic,Carbon,700c,None,8.5,Bikepacking,Canyon,Gravel
CANYON-007,Canyon Spectral 125 CF,Trail mountain bike with 125mm travel. Perfect for flowy trails and technical passages.,MTB,Trail,Bike,4999,EUR,/images/sap_logo.png,true,"S,M,L,XL","Purple,Mint,Black",Canyon,GLOBAL,true,SRAM GX Eagle AXS,Disc Hydraulic,Carbon,29in,Full 125mm,13.2,Trail,Canyon,MTB
CANYON-008,Canyon Strive CFR,Enduro race bike with Shapeshifter technology. World Cup tested for aggressive descents.,MTB,Enduro,Bike,7499,EUR,/images/sap_logo.png,true,"S,M,L,XL","Orange,Black,White",Canyon,GLOBAL,true,SRAM X01 Eagle AXS,Disc Hydraulic,Carbon,29in,Full 160mm,14.1,Enduro,Canyon,MTB
CANYON-009,Canyon Torque CF,Freeride mountain bike for parks and extreme trails. 180mm travel for maximum fun.,MTB,Freeride,Bike,5999,EUR,/images/sap_logo.png,true,"S,M,L,XL","Red,Black",Canyon,GLOBAL,true,SRAM GX Eagle,Disc Hydraulic,Carbon,27.5in,Full 180mm,15.0,Freeride,Canyon,MTB
CANYON-010,Canyon Lux World Cup CFR,XC race bike for competitions. Ultra-light and stiff for maximum efficiency on the racecourse.,MTB,Cross-Country,Bike,8499,EUR,/images/sap_logo.png,true,"S,M,L","Red,White,Black",Canyon,GLOBAL,true,SRAM XX Eagle AXS,Disc Hydraulic,Carbon,29in,Full 100mm,9.8,Cross-Country,Canyon,MTB
CANYON-011,Canyon Neuron CF,All-mountain bike with 130mm travel. Versatile for uphills and downhills.,MTB,All-Mountain,Bike,4299,EUR,/images/sap_logo.png,true,"XS,S,M,L,XL","Teal,Grey,Black",Canyon,GLOBAL,true,Shimano XT,Disc Hydraulic,Carbon,29in,Full 130mm,13.0,All-Mountain,Canyon,MTB
